"CODIGO","DESCRICAO"
"171","MAKU"
"172","MAKU:BARA (MAKU-BARA)"
"173","MAKU:CACUA"
"174","MAKU:DOW"
"175","MAKU:GUARIBA,WARIWATAPUYA"
"176","MAKU:HUPDA"
"177","MAKU:KAMA"
"178","MAKU:KAMA"
"179","MAKU:NADEB (NADEB)"
"180","MAKU:NUKAR"
"181","MAKU:YAHUPDE"
"182","MAKU:YUHUPDE"
"183","MAKUNA"
"184","MATAPI"
"185","MAWAYANA"
"186","MAWE (SATERE)"
"187","MAXAKALI:MAXAKALI"
"188","MAXAKALI:PATAXO"
"189","MAXAKALI:PATAXO HAHAHAE"
"190","MIRITI-TAPUIA"
"191","MONDE:ARUA"
"192","MONDE:CINTA LARGA"
"193","MONDE:GAVIAO (DIGUT)"
"194","MONDE:GAVIAO DE RO"
"195","MONDE:GAVIAO(IKORO)"
"196","MONDE:MEKEM"
"197","MONDE:MONDE (SALAMAI)"
"198","MONDE:MONDE (SANAMAIKA)"
"199","MONDE:SURUI (PAITER)"
"200","MONDE:SURUI(AIKEWARA)"
"201","MONDE:ZORO"
"202","MUNDURUKU:KURUAYA"
"203","MUNDURUKU:MUNDURUKU"
"204","MURA:MIRANHA(MIRANA)"
"205","MURA:MURA"
"206","MURA:PIRAHA"
"207","NAMBIKWARA:ATANTESU"
"208","NAMBIKWARA:GALERA"
"209","NAMBIKWARA:HAHAINTESU"
"210","NAMBIKWARA:HOLOTESU"
"211","NAMBIKWARA:KATITAWLU"
"212","NAMBIKWARA:LAKONDE"
"213","NAMBIKWARA:LATUNDE"
"214","NAMBIKWARA:MAMAINDE"
"215","NAMBIKWARA:MAMAINDE"
"216","NAMBIKWARA:MUNDUKA"
"217","NAMBIKWARA:N. DO CAMPO"
"218","NAMBIKWARA:N. DO GUAPORE"
"219","NAMBIKWARA:NAGAROTE"
"220","NAMBIKWARA:NHAMBIQUARA"
"221","NAMBIKWARA:SABANE"
"222","NAMBIKWARA:SARARE(KABIXI)"
"223","NAMBIKWARA:TAWANDE"
"224","NAMBIKWARA:TAWANDE/TAGNAN"
"225","NAMBIKWARA:WAIKISU"
"226","NAMBIKWARA:WASUSU"
"227","NAMBIKWRA:KABIXI"
"228","OFAYE(OFAYE XAVANTE)"
"229","PAIAKU"
"230","PANKARARU"
"231","PANKARU"
"232","PANO:AMAWAKA"
"233","PANO:KARIPUNA"
"234","PANO:KATUKINA (WANINAWA)"
"235","PANO:KATUKINA DO ACRE"
"236","PANO:KAXARARI"
"237","PANO:KAXINAWA"
"238","PANO:MARUBO"
"239","PANO:MATIS"
"240","PANO:MATSES"
"241","PANO:MAYA"
"242","PANO:MAYORUNA"
"243","PANO:NUKUINI"
"244","PANO:POYANAWA"
"245","PANO:YAMINAWA(JAMINAWA)"
"246","PANO:YAWANAWA"
"247","PATAMONA(KAPON)"
"248","PAUMELENHO"
"249","PIRATUAPUIA"
"250","PITAGUARI"
"251","POTIGUARA"
"252","PURUBORA"
"253","PUYUKA"
"254","RAMARAMA:ARARA (KARO)"
"255","RAMARAMA:ARARA(URUKU)"
"256","RAMARAMA:ITOGAPUK"
"257","RIKBAKTSA (ERIKBAKTSA)"
"258","SIKIRIABAR"
"259","TABAJARA"
"260","TAPEBA"
"261","TAPUIA"
"262","TATUYO"
"263","TG:AK:AS.XINGU(AWAETE)"
"264","TG:AK:AS.XINGU(COATINEMA)"
"265","TG:AKWANA:AKUAWA"
"266","TG:AKWAWA:ASURINI DO TO"
"267","TG:AKWAWA:PARAKANA"
"268","TG:AKWAWA:SURUI DO TO"
"269","TG:AMANAYE"
"270","TG:ANAMBE (TURIWARA)"
"271","TG:APIAKA"
"272","TG:ARAWETE"
"273","TG:AVA (CANOEIRO)"
"274","TG:GUAJA"
"275","TG:GUARANI:APAPOKEWA"
"276","TG:GUARANI:CHIRIGUANO"
"277","TG:GUARANI:KAIWA (KAYOVA)"
"278","TG:GUARANI:MBIA/MBYA/MBU"
"279","TG:GUARANI:NHANDEVA"
"280","TG:GUARANI:PAI TAVYTERA"
"281","TG:GUARANI:TXIRIPA"
"282","TG:GUARANI:XIRIPA"
"283","TG:KAMAYURA"
"284","TG:KAYABI"
"285","TG:KOKAMA(KOCAMA)"
"286","TG:NHEENGATU"
"287","TG:OMAGUA (KAMBEBA)"
"288","TG:PARINTINTIN(KAGWAHIV)"
"289","TG:PARINTINTIN:DIAHOI"
"290","TG:PARINTINTIN:JUMA"
"291","TG:PARINTINTIN:TENHARIN"
"292","TG:TAPIRAPE"
"293","TG:TENETEHARA:GUAJAJARA"
"294","TG:TENETEHARA:TEMBE"
"295","TG:URUBU"
"296","TG:URUBU(URUBU-KAAPOR)"
"297","TG:URUEWAUWAU"
"298","TG:WAYAMPI(OYAMPI)"
"299","TG:XETA"
"300","TIKUNA (TURUNA)"
"301","TINGUI BOTO"
"302","TREMEMBE"
"303","TRUMAI"
"304","TRURA"
"305","TSOHOM-DJAPA"
"306","TUK.:JURITI YURITI-TAPUYA"
"307","TUK.:PIRA-TAPUYA(WAIKANA)"
"308","TUK.:TUKANO MIRITI-TAPUYA"
"309","TUK.:TUYUKA (DOHKA-POARA)"
"310","TUKANO:BARASANA (BARA)"
"311","TUKANO:BARASANA(BARASANO)"
"312","TUKANO:DESANA (DESANO)"
"313","TUKANO:DESANA (WINA)"
"314","TUKANO:JURITI (WAHYARA)"
"315","TUKANO:KARAPANA (MEHTA)"
"316","TUKANO:KARAPANA (TAPUYA)"
"317","TUKANO:KUBEWA (KUBEU)"
"318","TUKANO:KUBEWA (KUBEWANA)"
"319","TUKANO:KUBEWA (PAMIWA)"
"320","TUKANO:PIRATAPUYA(WAIKANA"
"321","TUKANO:SURINA (SURIRA)"
"322","TUKANO:TUKANO (ARAPASO)"
"323","TUKANO:TUKANO (DAHSEYE)"
"324","TUKANO:TUKANO (KONEA)"
"325","TUKANO:TUKANO (MIRITI)"
"326","TUKANO:TUKANO (NEENOA)"
"327","TUKANO:TUKANO (TARIANA)"
"328","TUKANO:TUKANO (TUKANA)"
"329","TUKANO:TUYUKA"
"330","TUKANO:WANANA (KOTIRIA)"
"331","TUKANO:WANANA (WANANO)"
"332","TUKANO:YEBA-MASA"
"333","TUPARI:MAKURAP"
"334","TUPARI:TUPARI"
"335","TUPARI:WAYORO (AJURU)"
"336","TUPINIQUIM"
"337","TURIWARA"
"338","TUXA"
"339","TXAPACURA:URUPA"
"340","TXAPAKURA:PAKAANOVA"
"341","TXAPAKURA:TORA"
"342","WAIAPI"
"343","WAREKENA"
"344","WASSU"
"345","WITOTO"
"346","XEREU"
"347","XIPAIA"
"348","XOCO"
"349","XUCURU"
"350","XUCURU KARIRI"
"351","YANOMAMI:NINAM (YANAM)"
"352","YANOMAMI:SANUMA"
"353","YANOMAMI:YANOMAM, YAINOMA"
"354","YANOMAMI:YANOMAMI"
"355","YATE (FULNIO)"
"356","YATE (KARNIJO)"
"357","YUKUNA"
"358","YURUTI"
"359","ZO E(POTURU)"
"360","ZURUAHA"
