"MUNICIPIO","DESCRICAO","REGIAO"
"1503093","GOIANESIA DO PARA",""
"1503101","GURUPA","016"
"1503200","IGARAPE-ACU","024"
"1503309","IGARAPE-MIRI","018"
"1503408","INHANGAPI","024"
"1503457","IPIXUNA DO PARA",""
"1503507","IRITUIA","022"
"1503606","ITAITUBA","013"
"1503705","ITUPIRANGA","019"
"1503754","JACAREACANGA",""
"1503804","JACUNDA","019"
"1503903","JURUTI","012"
"1504000","LIMOEIRO DO AJURU","018"
"1504059","MAE DO RIO","022"
"1504109","MAGALHAES BARATA","023"
"1504208","MARABA","019"
"1504307","MARACANA","023"
"1504406","MARAPANIM","023"
"1504455","MEDICILANDIA","014"
"1504505","MELGACO","016"
"1504604","MOCAJUBA","018"
"1504703","MOJU","018"
"1504802","MONTE ALEGRE","012"
"1504901","MUANA","017"
"1504950","NOVA ESPERANCA DO PIRIA",""
"1505007","NOVA TIMBOTEUA","024"
"1505031","NOVO PROGRESSO",""
"1505064","NOVO REPARTIMENTO",""
"1505106","OBIDOS","012"
"1505205","OEIRAS DO PARA","018"
"1505304","ORIXIMINA","012"
"1505403","OUREM","022"
"1505437","OURILANDIA DO NORTE","015"
"1505486","PACAJA","016"
"1505494","PALESTINA DO PARA",""
"1505502","PARAGOMINAS","022"
"1505536","PARAUAPEBAS","019"
"1505551","PAU D'ARCO",""
"1505601","PEIXE-BOI","024"
"1505700","PONTA DE PEDRAS","017"
"1505809","PORTEL","016"
"1505908","PORTO DE MOZ","014"
"1506005","PRAINHA","014"
"1506104","PRIMAVERA","023"
"1506138","REDENCAO","020"
"1506161","RIO MARIA","020"
"1506187","RONDON DO PARA","022"
"1506195","RUROPOLIS","013"
"1506203","SALINOPOLIS","023"
"1506302","SALVATERRA","017"
"1506351","SANTA BARBARA DO PARA",""
"1506401","SANTA CRUZ DO ARARI","017"
"1506500","SANTA ISABEL DO PARA","024"
"1506559","SANTA LUZIA DO PARA",""
"1506583","SANTA MARIA DAS BARREIRAS","020"
"1506609","SANTA MARIA DO PARA","024"
"1506708","SANTANA DO ARAGUAIA","020"
"1506807","SANTAREM","012"
"1506906","SANTAREM NOVO","023"
"1507003","SANTO ANTONIO DO TAUA","023"
"1507102","SAO CAETANO DE ODIVELAS","023"
"1507151","SAO DOMINGOS DO ARAGUAIA",""
"1507201","SAO DOMINGOS DO CAPIM","022"
"1507300","SAO FELIX DO XINGU","015"
"1507409","SAO FRANCISCO DO PARA","024"
"1507458","SAO GERALDO DO ARAGUAIA","020"
"1507474","SAO JOAO DE PIRABAS","023"
"1507508","SAO JOAO DO ARAGUAIA","019"
"1507607","SAO MIGUEL DO GUAMA","024"
"1507706","SAO SEBASTIAO DA BOA VISTA","016"
"1507805","SENADOR JOSE PORFIRIO","016"
"1507904","SOURE","017"
"1507953","TAILANDIA","021"
"1507961","TERRA ALTA",""
"1507979","TERRA SANTA",""
"1508001","TOME-ACU","021"
"1508050","TRAIRAO",""
"1508084","TUCUMA","015"
"1508100","TUCURUI","019"
"1508126","ULIANOPOLIS",""
"1508159","URUARA","014"
"1508209","VIGIA","023"
"1508308","VISEU","026"
"1508357","VITORIA DO XINGU",""
"1508407","XINGUARA","020"
"1600000","AMAPA - IGNORADO",""
"1600055","SERRA DO NAVIO",""
"1600105","AMAPA","028"
"1600154","PEDRA BRANCA DO AMAPARI",""
"1600204","CALCOENE","028"
"1600212","CUTIAS",""
"1600238","FERREIRA GOMES","028"
"1600253","ITAUBAL",""
"1600279","LARANJAL DO JARI","027"
"1600303","MACAPA","027"
"1600402","MAZAGAO","027"
"1600501","OIAPOQUE","028"
"1600535","PORTO GRANDE",""
"1600550","PRACUUBA",""
"1600600","SANTANA","027"
"1600709","TARTARUGALZINHO","028"
"1700000","TOCANTINS - IGNORADO",""
"1700251","ABREULANDIA",""
"1700350","ALIANCA DO TOCANTINS","348"
"1700400","ALMAS","349"
"1700707","ALVORADA","348"
"1701002","ANANAS","345"
"1701051","ANGICO",""
"1701101","APARECIDA DO RIO NEGRO","347"
"1701309","ARAGOMINAS",""
"1701903","ARAGUACEMA","346"
"1702000","ARAGUACU","348"
"1702109","ARAGUAINA","345"
"1702158","ARAGUANA",""
"1702208","ARAGUATINS","345"
"1702307","ARAPOEMA","346"
"1702406","ARRAIAS","349"
"1702554","AUGUSTINOPOLIS","345"
"1702703","AURORA DO TOCANTINS","349"
"1702901","AXIXA DO TOCANTINS","345"
"1703008","BABACULANDIA","345"
"1703107","BARROLANDIA","348"
"1703206","BERNARDO SAYAO","346"
"1703305","BOM JESUS DO TOCANTINS",""
"1703602","BRASILANDIA DO TOCANTINS",""
"1703701","BREJINHO DE NAZARE","348"
"1703800","BURITI DO TOCANTINS","345"
"1703826","CACHOEIRINHA",""
"1703842","CAMPOS LINDOS",""
"1703867","CARIRI DO TOCANTINS",""
"1703883","CARMOLANDIA",""
"1703891","CARRASCO BONITO",""
"1703909","CASEARA","346"
"1704105","CENTENARIO",""
"1705508","COLINAS DO TOCANTINS","346"
"1705557","COMBINADO","349"
"1705607","CONCEICAO DO TOCANTINS","349"
"1706001","COUTO DE MAGALHAES","346"
"1706100","CRISTALANDIA","348"
"1706506","DARCINOPOLIS",""
"1707009","DIANOPOLIS","349"
"1707108","DIVINOPOLIS DO TOCANTINS","348"
"1707207","DOIS IRMAOS DO TOCANTINS","346"
"1707306","DUERE","348"
"1707405","ESPERANTINA",""
"1707553","FATIMA","348"
"1707652","FIGUEIROPOLIS","348"
"1707702","FILADELFIA","345"
"1708205","FORMOSO DO ARAGUAIA","348"
"1708254","FORTALEZA DO TABOCAO",""
"1708304","GOIANORTE","346"
"1709005","GOIATINS","347"
"1709302","GUARAI","348"
"1709500","GURUPI","348"
"1710508","ITACAJA","347"
"1710706","ITAGUATINS","345"
"1710904","ITAPIRATINS",""
"1711100","ITAPORA DO TOCANTINS","346"
"1711506","JAU DO TOCANTINS",""
"1711803","JUARINA",""
"1711902","LAGOA DA CONFUSAO",""
"1711951","LAGOA DO TOCANTINS",""
"1712009","LAJEADO",""
"1712405","LIZARDA","347"
"1712504","MARIANOPOLIS DO TOCANTINS","346"
"1712702","MATEIROS",""
"1712801","MAURILANDIA DO TOCANTINS",""
"1713205","MIRACEMA DO TOCANTINS","348"
"1713304","MIRANORTE","348"
"1713601","MONTE DO CARMO","348"
"1713809","MOSQUITO",""
"1713957","MURICILANDIA",""
"1714203","NATIVIDADE","349"
"1714302","NAZARE","345"
"1714880","NOVA OLINDA","345"
"1715002","NOVA ROSALANDIA","348"
"1715101","NOVO ACORDO","347"
"1715150","NOVO ALEGRE",""
"1715259","NOVO JARDIM",""
"1715705","PALMEIRANTE",""
"1715754","PALMEIROPOLIS","349"
"1716109","PARAISO DO TOCANTINS","348"
"1716208","PARANA","349"
"1716307","PAU D'ARCO",""
"1716505","PEDRO AFONSO","347"
"1716604","PEIXE","348"
"1716653","PEQUIZEIRO","346"
"1716703","COLMEIA","346"
"1717008","PINDORAMA DO TOCANTINS","349"
"1717206","PIRAQUE",""
"1717503","PIUM","348"
"1717800","PONTE ALTA DO BOM JESUS","349"
"1717909","PONTE ALTA DO TOCANTINS","347"
"1718006","PORTO ALEGRE DO TOCANTINS","349"
"1718204","PORTO NACIONAL","348"
"1718303","PRAIA NORTE","345"
"1718402","PRESIDENTE KENNEDY","348"
"1718501","RECURSOLANDIA",""
"1718550","RIACHINHO",""
"1718659","RIO DA CONCEICAO",""
"1718709","RIO DOS BOIS",""
"1718758","RIO SONO","347"
"1718808","SAMPAIO","345"
"1718840","SANDOLANDIA",""
"1718865","SANTA FE DO ARAGUAIA",""
"1718881","SANTA MARIA DO TOCANTINS",""
"1718907","SANTA ROSA DO TOCANTINS","349"
"1719004","SANTA TEREZA DO TOCANTINS","347"
"1720101","SAO BENTO DO TOCANTINS",""
"1720150","SAO FELIX DO TOCANTINS",""
"1720200","SAO MIGUEL DO TOCANTINS",""
"1720259","SAO SALVADOR DO TOCANTINS",""
"1720309","SAO SEBASTIAO DO TOCANTINS","345"
"1720499","SAO VALERIO DA NATIVIDADE","349"
"1720655","SILVANOPOLIS","348"
"1720804","SITIO NOVO DO TOCANTINS","345"
"1720853","SUCUPIRA",""
"1720903","TAGUATINGA","349"
"1720937","TAIPAS DO TOCANTINS",""
"1721000","PALMAS","348"
"1721109","TOCANTINIA","347"
"1721208","TOCANTINOPOLIS","345"
"1721307","TUPIRATINS",""
"1722081","WANDERLANDIA","345"
"1722107","XAMBIOA","345"
"2000107","EXTINTO",""
"2100000","MARANHAO - IGNORADO",""
"2100055","ACAILANDIA","038"
"2100105","AFONSO CUNHA","037"
"2100204","ALCANTARA","030"
"2100303","ALDEIAS ALTAS","036"
"2100402","ALTAMIRA DO MARANHAO","034"
"2100501","ALTO PARNAIBA","042"
"2100600","AMARANTE DO MARANHAO","038"
"2100709","ANAJATUBA","030"
"2100808","ANAPURUS","033"
"2100907","ARAIOSES","033"
"2100956","ARAME","039"
"2101004","ARARI","030"
"2101103","AXIXA","032"
"2101202","BACABAL","035"
"2101301","BACURI","030"
"2101400","BALSAS","042"
"2101509","BARAO DE GRAJAU","044"
"2101608","BARRA DO CORDA","039"
"2101707","BARREIRINHAS","032"
"2101806","BENEDITO LEITE","043"
"2101905","BEQUIMAO","030"
"2102002","BOM JARDIM","034"
"2102101","BREJO","033"
"2102200","BURITI","033"
"2102309","BURITI BRAVO","041"
"2102408","CAJAPIO","030"
"2102507","CAJARI","030"
"2102606","CANDIDO MENDES","029"
"2102705","CANTANHEDE","036"
"2102804","CAROLINA","042"
"2102903","CARUTAPERA","029"
"2103000","CAXIAS","036"
"2103109","CEDRAL","030"
"2103208","CHAPADINHA","037"
"2103307","CODO","036"
"2103406","COELHO NETO","033"
"2103505","COLINAS","041"
"2103604","COROATA","036"
"2103703","CURURUPU","030"
"2103802","DOM PEDRO","040"
"2103901","DUQUE BACELAR","033"
"2104008","ESPERANTINOPOLIS","035"
"2104057","ESTREITO","042"
"2104107","FORTALEZA DOS NOGUEIRAS","042"
"2104206","FORTUNA","041"
"2104305","GODOFREDO VIANA","029"
"2104404","GONCALVES DIAS","040"
"2104503","GOVERNADOR ARCHER","040"
"2104602","GOVERNADOR EUGENIO BARROS","040"
"2104701","GRACA ARANHA","040"
"2104800","GRAJAU","039"
"2104909","GUIMARAES","030"
"2105005","HUMBERTO DE CAMPOS","032"
"2105104","ICATU","032"
"2105203","IGARAPE GRANDE","035"
"2105302","IMPERATRIZ","038"
"2105401","ITAPECURU MIRIM","036"
"2105500","JOAO LISBOA","038"
"2105609","JOSELANDIA","035"
"2105708","LAGO DA PEDRA","034"
"2105807","LAGO DO JUNCO","035"
"2105906","LAGO VERDE","035"
"2106003","LIMA CAMPOS","035"
"2106102","LORETO","043"
"2106201","LUIS DOMINGUES","029"
"2106300","MAGALHAES DE ALMEIDA","033"
"2106409","MATA ROMA","037"
"2106508","MATINHA","030"
"2106607","MATOES","036"
"2106706","MIRADOR","044"
"2106755","MIRANDA DO NORTE","036"
"2106805","MIRINZAL","030"
"2106904","MONCAO","034"
"2107001","MONTES ALTOS","038"
"2107100","MORROS","032"
"2107209","NINA RODRIGUES","037"
"2107308","NOVA IORQUE","044"
"2107407","OLHO D'AGUA DAS CUNHAS","035"
"2107506","PACO DO LUMIAR","031"
"2107605","PALMEIRANDIA","030"
"2107704","PARAIBANO","044"
"2107803","PARNARAMA","036"
"2107902","PASSAGEM FRANCA","041"
"2108009","PASTOS BONS","044"
"2108108","PAULO RAMOS","034"
"2108207","PEDREIRAS","035"
"2108306","PENALVA","030"
"2108405","PERI MIRIM","030"
"2108504","PINDARE MIRIM","034"
"2108603","PINHEIRO","030"
"2108702","PIO XII","035"
"2108801","PIRAPEMAS","036"
"2108900","POCAO DE PEDRAS","035"
"2109007","PORTO FRANCO","038"
"2109106","PRESIDENTE DUTRA","040"
"2109205","PRESIDENTE JUSCELINO","032"
"2109304","PRESIDENTE VARGAS","037"
"2109403","PRIMEIRA CRUZ","032"
"2109502","RIACHAO","042"
"2109601","ROSARIO","031"
"2109700","SAMBAIBA","043"
"2109809","SANTA HELENA","030"
"2109908","SANTA INES","034"
"2110005","SANTA LUZIA","034"
"2110039","SANTA LUZIA DO PARUA","029"
"2110104","SANTA QUITERIA DO MARANHAO","033"
"2110203","SANTA RITA","036"
"2110302","SANTO ANTONIO DOS LOPES","035"
"2110401","SAO BENEDITO DO RIO PRETO","037"
"2110500","SAO BENTO","030"
"2110609","SAO BERNARDO","033"
"2110708","SAO DOMINGOS DO MARANHAO","040"
"2110807","SAO FELIX DE BALSAS","043"
"2110906","SAO FRANCISCO DO MARANHAO","044"
"2111003","SAO JOAO BATISTA","030"
"2111102","SAO JOAO DOS PATOS","044"
"2111201","SAO JOSE DE RIBAMAR","031"
"2111300","SAO LUIS","031"
"2111409","SAO LUIS GONZAGA DO MARANHAO","035"
"2111508","SAO MATEUS DO MARANHAO","035"
"2111607","SAO RAIMUNDO DAS MANGABEIRAS","043"
"2111706","SAO VICENTE FERRER","030"
"2111805","SITIO NOVO","039"
"2111904","SUCUPIRA DO NORTE","044"
"2112001","TASSO FRAGOSO","042"
"2112100","TIMBIRAS","036"
"2112209","TIMON","036"
"2112308","TUNTUM","040"
"2112407","TURIACU","029"
"2112506","TUTOIA","033"
"2112605","URBANO SANTOS","037"
"2112704","VARGEM GRANDE","037"
"2112803","VIANA","030"
"2112902","VITORIA DO MEARIM","030"
"2113009","VITORINO FREIRE","034"
"2114007","ZE DOCA","034"
"2200000","PIAUI - IGNORADO",""
"2200103","AGRICOLANDIA","048"
"2200202","AGUA BRANCA","048"
"2200251","ALAGOINHA DO PIAUI","051"
"2200277","ALEGRETE DO PIAUI",""
"2200301","ALTO LONGA","046"
"2200400","ALTOS","047"
"2200509","AMARANTE","048"
"2200608","ANGICAL DO PIAUI","048"
"2200707","ANISIO DE ABREU","054"
"2200806","ANTONIO ALMEIDA","050"
"2200905","AROAZES","149"
"2201002","ARRAIAL","048"
"2201101","AVELINO LOPES","055"
"2201150","BAIXA GRANDE DO RIBEIRO",""
"2201200","BARRAS","046"
"2201309","BARREIRAS DO PIAUI","055"
"2201408","BARRO DURO","048"
"2201507","BATALHA","046"
"2201606","BENEDITINOS","047"
"2201705","BERTOLINIA","050"
"2201804","BOCAINA","051"
"2201903","BOM JESUS","053"
"2201919","BOM PRINCIPIO DO PIAUI",""
"2201929","BONFIM DO PIAUI",""
"2201960","BRASILEIRA",""
"2202000","BURITI DOS LOPES","045"
"2202026","BURITI DOS MONTES",""
"2202059","CABECEIRAS DO PIAUI",""
"2202091","CALDEIRAO GRANDE DO PIAUI",""
"2202109","CAMPINAS DO PIAUI","054"
"2202208","CAMPO MAIOR","146"
"2202251","CANAVIEIRA",""
"2202307","CANTO DO BURITI","054"
"2202406","CAPITAO DE CAMPOS","046"
"2202505","CARACOL","054"
"2202604","CASTELO DO PIAUI","046"
"2202703","COCAL","046"
"2202737","COIVARAS",""
"2202752","COLONIA DO GURGUEIA",""
"2202778","COLONIA DO PIAUI",""
"2202802","CONCEICAO DO CANINDE","054"
"2202851","CORONEL JOSE DIAS",""
"2202901","CORRENTE","055"
"2203008","CRISTALANDIA DO PIAUI","055"
"2203107","CRISTINO CASTRO","053"
"2203206","CURIMATA","055"
"2203305","DEMERVAL LOBAO","047"
"2203354","DIRCEU ARCOVERDE","054"
"2203404","DOM EXPEDITO LOPES","051"
"2203420","DOMINGOS MOURAO","046"
"2203453","DOM INOCENCIO","054"
"2203503","ELESBAO VELOSO","049"
"2203602","ELISEU MARTINS","050"
"2203701","ESPERANTINA","045"
"2203750","FARTURA DO PIAUI",""
"2203800","FLORES DO PIAUI","050"
"2203909","FLORIANO","050"
"2204006","FRANCINOPOLIS","049"
"2204105","FRANCISCO AYRES","048"
"2204204","FRANCISCO SANTOS","051"
"2204303","FRONTEIRAS","051"
"2204402","GILBUES","055"
"2204501","GUADALUPE","050"
"2204600","HUGO NAPOLEAO","048"
"2204709","INHUMA","049"
"2204808","IPIRANGA DO PIAUI","051"
"2204907","ISAIAS COELHO","054"
"2205003","ITAINOPOLIS","051"
"2205102","ITAUEIRA","050"
"2205151","JACOBINA DO PIAUI",""
"2205201","JAICOS","051"
"2205250","JARDIM DO MULATO",""
"2205300","JERUMENHA","050"
"2205409","JOAQUIM PIRES","045"
"2205508","JOSE DE FREITAS","047"
"2205557","LAGOA ALEGRE",""
"2205565","LAGOA DO BARRO DO PIAUI",""
"2205607","LANDRI SALES","050"
"2205706","LUIS CORREIA","045"
"2205805","LUZILANDIA","045"
"2205904","MANOEL EMIDIO","050"
"2205953","MARCOLANDIA",""
"2206001","MARCOS PARENTE","050"
"2206100","MATIAS OLIMPIO","045"
"2206209","MIGUEL ALVES","047"
"2206308","MIGUEL LEAO","048"
"2206407","MONSENHOR GIL","047"
"2206506","MONSENHOR HIPOLITO","051"
"2206605","MONTE ALEGRE DO PIAUI","055"
"2206704","NAZARE DO PIAUI","050"
"2206803","NOSSA SENHORA DOS REMEDIOS","045"
"2206902","NOVO ORIENTE DO PIAUI","049"
"2207009","OEIRAS","051"
"2207207","PADRE MARCOS","051"
"2207306","PAES LANDIM","054"
"2207405","PALMEIRA DO PIAUI","053"
"2207504","PALMEIRAIS","048"
"2207603","PARNAGUA","055"
"2207702","PARNAIBA","045"
"2207751","PASSAGEM FRANCA DO PIAUI",""
"2207777","PATOS DO PIAUI",""
"2207801","PAULISTANA","054"
"2207900","PEDRO II","046"
"2208007","PICOS","051"
"2208106","PIMENTEIRAS","049"
"2208205","PIO IX","051"
"2208304","PIRACURUCA","046"
"2208403","PIRIPIRI","046"
"2208502","PORTO","045"
"2208601","PRATA DO PIAUI","049"
"2208650","QUEIMADA NOVA",""
"2208700","REDENCAO DO GURGUEIA","053"
"2208809","REGENERACAO","048"
"2208908","RIBEIRO GONCALVES","052"
"2209005","RIO GRANDE DO PIAUI","050"
"2209104","SANTA CRUZ DO PIAUI","051"
"2209153","SANTA CRUZ DOS MILAGRES",""
"2209203","SANTA FILOMENA","052"
"2209302","SANTA LUZ","053"
"2209351","SANTANA DO PIAUI",""
"2209377","SANTA ROSA DO PIAUI",""
"2209401","SANTO ANTONIO DE LISBOA","051"
"2209500","SANTO INACIO DO PIAUI","051"
"2209559","SAO BRAZ DO PIAUI",""
"2209609","SAO FELIX DO PIAUI","049"
"2209708","SAO FRANCISCO DO PIAUI","050"
"2209807","SAO GONCALO DO PIAUI","048"
"2209856","SAO JOAO DA CANABRAVA","051"
"2209906","SAO JOAO DA SERRA","046"
"2210003","SAO JOAO DO PIAUI","054"
"2210052","SAO JOSE DO DIVINO",""
"2210102","SAO JOSE DO PEIXE","050"
"2210201","SAO JOSE DO PIAUI","051"
"2210300","SAO JULIAO","051"
"2210359","SAO LOURENCO DO PIAUI",""
"2210409","SAO MIGUEL DO TAPUIO","046"
"2210508","SAO PEDRO DO PIAUI","048"
"2210607","SAO RAIMUNDO NONATO","054"
"2210656","SIGEFREDO PACHECO",""
"2210706","SIMOES","051"
"2210805","SIMPLICIO MENDES","054"
"2210904","SOCORRO DO PIAUI","054"
"2211001","TERESINA","047"
"2211100","UNIAO","047"
"2211209","URUCUI","052"
"2211308","VALENCA DO PIAUI","049"
"2211357","VARZEA BRANCA",""
"2211407","VARZEA GRANDE","049"
"2300000","CEARA - IGNORADO",""
"2300101","ABAIARA","076"
"2300150","ACARAPE","065"
"2300200","ACARAU","056"
"2300309","ACOPIARA","073"
"2300408","AIUABA","072"
"2300507","ALCANTARAS","063"
"2300606","ALTANEIRA","075"
"2300705","ALTO SANTO","061"
"2300754","AMONTADA","058"
"2300804","ANTONINA DO NORTE","075"
"2300903","APUIARES","058"
"2301000","AQUIRAZ","059"
"2301109","ARACATI","061"
"2301208","ARACOIABA","065"
"2301257","ARARENDA",""
"2301307","ARARIPE","077"
"2301406","ARATUBA","065"
"2301505","ARNEIROZ","072"
"2301604","ASSARE","075"
"2301703","AURORA","076"
"2301802","BAIXIO","074"
"2301851","BANABUIU","068"
"2301901","BARBALHA","078"
"2301950","BARREIRA","065"
"2302008","BARRO","076"
"2302057","BARROQUINHA","056"
"2302107","BATURITE","065"
"2302206","BEBERIBE","060"
"2302305","BELA CRUZ","056"
"2302404","BOA VIAGEM","068"
"2302503","BREJO SANTO","076"
"2302602","CAMOCIM","056"
"2302701","CAMPOS SALES","077"
"2302800","CANINDE","064"
"2302909","CAPISTRANO","065"
"2303006","CARIDADE","064"
"2303105","CARIRE","063"
"2303204","CARIRIACU","075"
"2303303","CARIUS","073"
"2303402","CARNAUBAL","062"
"2303501","CASCAVEL","060"
"2303600","CATARINA","072"
"2303659","CATUNDA",""
"2303709","CAUCAIA","059"
"2303808","CEDRO","074"
"2303907","CHAVAL","056"
"2303931","CHORO",""
"2303956","CHOROZINHO","060"
"2304004","COREAU","063"
"2304103","CRATEUS","067"
"2304202","CRATO","078"
"2304236","CROATA","062"
"2304251","CRUZ","056"
"2304269","DEPUTADO IRAPUAN PINHEIRO","069"
"2304277","ERERE","071"
"2304285","EUSEBIO","059"
"2304301","FARIAS BRITO","075"
"2304350","FORQUILHA","063"
"2304400","FORTALEZA","059"
"2304459","FORTIM",""
"2304509","FRECHEIRINHA","063"
"2304608","GENERAL SAMPAIO","064"
"2304657","GRACA","062"
"2304707","GRANJA","056"
"2304806","GRANJEIRO","075"
"2304905","GROAIRAS","063"
"2304954","GUAIUBA","059"
